 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  
   210     1  -36.40004       0.000000      -37.25142      0.8513798      0.6928547E-04   21.87862      0.9888762E-01  0.9964387E-01
   211     1  -36.38510       0.000000      -37.25184      0.8667400      0.7053549E-04   22.27334      0.9254738E-01  0.9572111E-01
   212     1  -36.39431       0.000000      -37.25163      0.8573142      0.6976841E-04   22.03112      0.8739999E-01  0.9144926E-01
   213     1  -36.40150       0.000000      -37.25249      0.8509871      0.6925351E-04   21.86853      0.8586881E-01  0.9136746E-01
   214     1  -36.38454       0.000000      -37.25300      0.8684668      0.7067601E-04   22.31772      0.8748574E-01  0.8786019E-01
   215     1  -36.38438       0.000000      -37.25262      0.8682371      0.7065731E-04   22.31181      0.9140614E-01  0.8457404E-01
   216     1  -36.40439       0.000000      -37.25234      0.8479532      0.6900661E-04   21.79056      0.9273463E-01  0.8328705E-01
   217     1  -36.38872       0.000000      -37.25285      0.8641295      0.7032304E-04   22.20626      0.9153063E-01  0.8122019E-01
   218     1  -36.39958       0.000000      -37.25171      0.8521371      0.6934710E-04   21.89808      0.8986999E-01  0.8139586E-01
   219     1  -36.38996       0.000000      -37.25034      0.8603824      0.7001810E-04   22.10997      0.9125204E-01  0.8547683E-01
   220     1  -36.39777       0.000000      -37.25063      0.8528683      0.6940660E-04   21.91687      0.9377260E-01  0.8625281E-01
   221     1  -36.40602       0.000000      -37.25171      0.8456927      0.6882265E-04   21.73247      0.9578396E-01  0.8643795E-01
   222     1  -36.39493       0.000000      -37.25301      0.8580838      0.6983104E-04   22.05090      0.9580818E-01  0.8897257E-01
   223     1  -36.40009       0.000000      -37.25238      0.8522917      0.6935968E-04   21.90205      0.9404576E-01  0.8892780E-01
   224     1  -36.40180       0.000000      -37.25233      0.8505287      0.6921620E-04   21.85675      0.9345233E-01  0.8543532E-01
   225     1  -36.40453       0.000000      -37.25407      0.8495435      0.6913602E-04   21.83143      0.9367701E-01  0.8643078E-01
   226     1  -36.40857       0.000000      -37.25477      0.8461984      0.6886381E-04   21.74547      0.9258258E-01  0.9057769E-01
   227     1  -36.41300       0.000000      -37.25324      0.8402465      0.6837944E-04   21.59252      0.9002198E-01  0.9165725E-01
   228     1  -36.41629       0.000000      -37.25228      0.8359985      0.6803373E-04   21.48335      0.8959803E-01  0.9307076E-01
   229     1  -36.39820       0.000000      -37.25149      0.8532908      0.6944098E-04   21.92773      0.8922396E-01  0.9846350E-01
   230     1  -36.38533       0.000000      -37.25207      0.8667437      0.7053578E-04   22.27344      0.8908430E-01  0.1013918    
   231     1  -36.40660       0.000000      -37.24963      0.8430250      0.6860555E-04   21.66392      0.9043302E-01  0.9847507E-01
   232     1  -36.40363       0.000000      -37.24881      0.8451788      0.6878082E-04   21.71927      0.9220779E-01  0.9481681E-01
   233     1  -36.39901       0.000000      -37.24938      0.8503735      0.6920357E-04   21.85276      0.9481390E-01  0.8776676E-01
   234     1  -36.39126       0.000000      -37.25036      0.8590932      0.6991318E-04   22.07684      0.9518940E-01  0.8318777E-01
   235     1  -36.39947       0.000000      -37.25086      0.8513868      0.6928603E-04   21.87880      0.9353406E-01  0.7875360E-01
   236     1  -36.39285       0.000000      -37.25125      0.8583910      0.6985604E-04   22.05879      0.9183873E-01  0.7682608E-01
   237     1  -36.39668       0.000000      -37.25248      0.8557991      0.6964511E-04   21.99219      0.9121561E-01  0.7823457E-01
   238     1  -36.39485       0.000000      -37.25191      0.8570659      0.6974820E-04   22.02474      0.9109544E-01  0.7986582E-01
   239     1  -36.39440       0.000000      -37.25094      0.8565420      0.6970556E-04   22.01128      0.9169529E-01  0.8922181E-01
   240     1  -36.39288       0.000000      -37.25216      0.8592812      0.6992849E-04   22.08167      0.9330283E-01  0.9638313E-01
   241     1  -36.39310       0.000000      -37.25282      0.8597222      0.6996437E-04   22.09300      0.9641851E-01  0.1005249    
   242     1  -36.39577       0.000000      -37.25214      0.8563621      0.6969092E-04   22.00665      0.1008316      0.1007589    
   243     1  -36.39920       0.000000      -37.25067      0.8514666      0.6929253E-04   21.88085      0.1017255      0.1018053    
   244     1  -36.37844       0.000000      -37.24884      0.8703976      0.7083314E-04   22.36734      0.1024388      0.1025622    
   245     1  -36.39012       0.000000      -37.24754      0.8574231      0.6977727E-04   22.03392      0.1031796      0.1023972    
   246     1  -36.39342       0.000000      -37.24677      0.8533472      0.6944558E-04   21.92918      0.1027130      0.1009157    
   247     1  -36.38707       0.000000      -37.24783      0.8607562      0.7004852E-04   22.11957      0.1019130      0.9565689E-01
   248     1  -36.38665       0.000000      -37.24838      0.8617295      0.7012773E-04   22.14458      0.1016206      0.9270904E-01
   249     1  -36.38759       0.000000      -37.24698      0.8593911      0.6993743E-04   22.08449      0.1016241      0.9087703E-01
   250     1  -36.38463       0.000000      -37.24696      0.8623338      0.7017690E-04   22.16011      0.1002242      0.9382839E-01
   251     1  -36.38732       0.000000      -37.24991      0.8625954      0.7019819E-04   22.16684      0.9835139E-01  0.1031975    
   252     1  -36.39868       0.000000      -37.25114      0.8524562      0.6937306E-04   21.90628      0.9617778E-01  0.1071289    
   253     1  -36.39995       0.000000      -37.25123      0.8512855      0.6927779E-04   21.87620      0.9417796E-01  0.1093700    
   254     1  -36.40220       0.000000      -37.25089      0.8486874      0.6906636E-04   21.80943      0.9197248E-01  0.1052806    
   255     1  -36.39678       0.000000      -37.25114      0.8543600      0.6952799E-04   21.95520      0.8816372E-01  0.1034497    
   256     1  -36.40241       0.000000      -37.25235      0.8499459      0.6916878E-04   21.84177      0.8576640E-01  0.1063315    
   257     1  -36.40540       0.000000      -37.25343      0.8480329      0.6901309E-04   21.79261      0.8443976E-01  0.1086124    
   258     1  -36.39465       0.000000      -37.25380      0.8591559      0.6991828E-04   22.07845      0.8307575E-01  0.1115821    
   259     1  -36.39695       0.000000      -37.25336      0.8564102      0.6969484E-04   22.00789      0.8416172E-01  0.1088260    
   260     1  -36.40654       0.000000      -37.25271      0.8461645      0.6886104E-04   21.74460      0.8618243E-01  0.1031641    
   261     1  -36.39317       0.000000      -37.25167      0.8585067      0.6986546E-04   22.06177      0.8922026E-01  0.1010123    
   262     1  -36.39942       0.000000      -37.25021      0.8507906      0.6923752E-04   21.86348      0.9147059E-01  0.9730189E-01
   263     1  -36.39681       0.000000      -37.24937      0.8525588      0.6938141E-04   21.90892      0.9576620E-01  0.9373895E-01
   264     1  -36.40005       0.000000      -37.25070      0.8506567      0.6922662E-04   21.86004      0.9820273E-01  0.9735847E-01
   265     1  -36.38809       0.000000      -37.25288      0.8647843      0.7037633E-04   22.22309      0.1007392      0.1005533    
   266     1  -36.38680       0.000000      -37.25452      0.8677189      0.7061515E-04   22.29850      0.1039076      0.1025263    
   267     1  -36.39760       0.000000      -37.25512      0.8575288      0.6978587E-04   22.03664      0.1049395      0.1058645    
   268     1  -36.39171       0.000000      -37.25482      0.8631037      0.7023956E-04   22.17990      0.1038692      0.1062691    
   269     1  -36.37921       0.000000      -37.25401      0.8747991      0.7119133E-04   22.48044      0.9992420E-01  0.1025030    
   270     1  -36.38374       0.000000      -37.25088      0.8671458      0.7056850E-04   22.28377      0.9544468E-01  0.9788517E-01
   271     1  -36.39760       0.000000      -37.24857      0.8509702      0.6925213E-04   21.86809      0.9207814E-01  0.9215761E-01
   272     1  -36.37463       0.000000      -37.24807      0.8734370      0.7108048E-04   22.44544      0.8967481E-01  0.9431838E-01
   273     1  -36.37844       0.000000      -37.24899      0.8705543      0.7084589E-04   22.37136      0.8918096E-01  0.9914223E-01
   274     1  -36.38578       0.000000      -37.25015      0.8643725      0.7034281E-04   22.21250      0.8863811E-01  0.1009550    
   275     1  -36.37975       0.000000      -37.25077      0.8710225      0.7088399E-04   22.38339      0.8975964E-01  0.1030209    
   276     1  -36.39606       0.000000      -37.25033      0.8542692      0.6952061E-04   21.95287      0.9077411E-01  0.1044961    
   277     1  -36.39853       0.000000      -37.25034      0.8518153      0.6932091E-04   21.88981      0.9290265E-01  0.1064461    
   278     1  -36.40714       0.000000      -37.25138      0.8442402      0.6870445E-04   21.69515      0.9388988E-01  0.1072134    
   279     1  -36.39191       0.000000      -37.25161      0.8597000      0.6996256E-04   22.09243      0.9229998E-01  0.1046378    
   280     1  -36.40068       0.000000      -37.25317      0.8524851      0.6937541E-04   21.90702      0.8993347E-01  0.1008892    
   281     1  -36.40286       0.000000      -37.25388      0.8510237      0.6925648E-04   21.86947      0.8840341E-01  0.9449634E-01
   282     1  -36.40754       0.000000      -37.25234      0.8447966      0.6874972E-04   21.70945      0.8859963E-01  0.9136874E-01
   283     1  -36.40645       0.000000      -37.25138      0.8449293      0.6876052E-04   21.71286      0.9043770E-01  0.9421223E-01
   284     1  -36.40116       0.000000      -37.25073      0.8495714      0.6913830E-04   21.83215      0.9212305E-01  0.9637905E-01
   285     1  -36.39574       0.000000      -37.24992      0.8541772      0.6951312E-04   21.95051      0.9235966E-01  0.1010735    
   286     1  -36.38907       0.000000      -37.24963      0.8605663      0.7003306E-04   22.11469      0.9162209E-01  0.1057047    
   287     1  -36.39742       0.000000      -37.24902      0.8516002      0.6930340E-04   21.88428      0.9161305E-01  0.1082794    
   288     1  -36.38090       0.000000      -37.24865      0.8677505      0.7061771E-04   22.29931      0.9269694E-01  0.1073579    
   289     1  -36.38647       0.000000      -37.24892      0.8624466      0.7018608E-04   22.16301      0.9499353E-01  0.1044918    
   290     1  -36.38619       0.000000      -37.24932      0.8631326      0.7024191E-04   22.18064      0.9706650E-01  0.1038727    
   291     1  -36.39240       0.000000      -37.24918      0.8567782      0.6972479E-04   22.01735      0.9923542E-01  0.1043854    
   292     1  -36.38711       0.000000      -37.24895      0.8618343      0.7013625E-04   22.14728      0.1006475      0.1028448    
   293     1  -36.38072       0.000000      -37.24897      0.8682416      0.7065768E-04   22.31193      0.1038243      0.9861498E-01
   294     1  -36.39482       0.000000      -37.24892      0.8541086      0.6950753E-04   21.94874      0.1074103      0.9357500E-01
   295     1  -36.40123       0.000000      -37.24910      0.8478726      0.6900005E-04   21.78849      0.1092471      0.8925039E-01
   296     1  -36.39708       0.000000      -37.24973      0.8526508      0.6938890E-04   21.91128      0.1079565      0.9155378E-01
   297     1  -36.39685       0.000000      -37.24983      0.8529739      0.6941519E-04   21.91958      0.1063213      0.8995070E-01
   298     1  -36.39899       0.000000      -37.24930      0.8503027      0.6919781E-04   21.85094      0.1015301      0.9253497E-01
   299     1  -36.39991       0.000000      -37.24959      0.8496773      0.6914692E-04   21.83487      0.9811123E-01  0.9839022E-01
   300     1  -36.39087       0.000000      -37.24955      0.8586843      0.6987991E-04   22.06633      0.9597854E-01  0.1009919    
   301     1  -36.39441       0.000000      -37.24945      0.8550437      0.6958364E-04   21.97277      0.9514253E-01  0.1011901    
   302     1  -36.38820       0.000000      -37.24848      0.8602765      0.7000948E-04   22.10725      0.9450589E-01  0.1025775    
   303     1  -36.39471       0.000000      -37.24829      0.8535743      0.6946405E-04   21.93501      0.9569482E-01  0.1007078    
   304     1  -36.40037       0.000000      -37.24855      0.8481862      0.6902557E-04   21.79655      0.9650038E-01  0.1011997    
   305     1  -36.39634       0.000000      -37.24770      0.8513620      0.6928401E-04   21.87816      0.1003453      0.9912633E-01
   306     1  -36.39887       0.000000      -37.24822      0.8493442      0.6911981E-04   21.82631      0.1056770      0.9610223E-01
   307     1  -36.40337       0.000000      -37.24809      0.8447180      0.6874333E-04   21.70743      0.1084927      0.9369896E-01
   308     1  -36.40323       0.000000      -37.25012      0.8468930      0.6892032E-04   21.76332      0.1086388      0.9140753E-01
   309     1  -36.39415       0.000000      -37.25202      0.8578771      0.6981422E-04   22.04559      0.1071761      0.9050722E-01
   310     1  -36.38116       0.000000      -37.25364      0.8724757      0.7100225E-04   22.42074      0.1041085      0.9419262E-01
   311     1  -36.38761       0.000000      -37.25378      0.8661683      0.7048896E-04   22.25865      0.9999982E-01  0.9320141E-01
   312     1  -36.39923       0.000000      -37.25346      0.8542283      0.6951728E-04   21.95182      0.9542927E-01  0.9226230E-01
   313     1  -36.39785       0.000000      -37.25299      0.8551410      0.6959155E-04   21.97527      0.9073053E-01  0.8964246E-01
   314     1  -36.40134       0.000000      -37.25250      0.8511668      0.6926813E-04   21.87315      0.8608783E-01  0.8458375E-01
   315     1  -36.38830       0.000000      -37.25252      0.8642166      0.7033013E-04   22.20850      0.8149671E-01  0.8639294E-01
   316     1  -36.38548       0.000000      -37.25270      0.8672154      0.7057417E-04   22.28556      0.8168389E-01  0.8532827E-01
   317     1  -36.38948       0.000000      -37.25266      0.8631793      0.7024571E-04   22.18184      0.8343558E-01  0.8238806E-01
   318     1  -36.38714       0.000000      -37.25229      0.8651531      0.7040634E-04   22.23256      0.8528282E-01  0.8091707E-01
   319     1  -36.40271       0.000000      -37.25320      0.8504863      0.6921275E-04   21.85566      0.8871108E-01  0.7787570E-01
   320     1  -36.40175       0.000000      -37.25467      0.8529263      0.6941132E-04   21.91836      0.9357192E-01  0.7553913E-01
   321     1  -36.41351       0.000000      -37.25564      0.8421300      0.6853272E-04   21.64092      0.9857287E-01  0.7837348E-01
   322     1  -36.40106       0.000000      -37.25372      0.8526632      0.6938991E-04   21.91160      0.1029950      0.7523971E-01
   323     1  -36.39459       0.000000      -37.25274      0.8581477      0.6983624E-04   22.05254      0.1060642      0.7531051E-01
   324     1  -36.39674       0.000000      -37.25143      0.8546871      0.6955462E-04   21.96361      0.1067241      0.7874768E-01
   325     1  -36.38282       0.000000      -37.25086      0.8680361      0.7064096E-04   22.30665      0.1056635      0.8447994E-01
   326     1  -36.37746       0.000000      -37.25181      0.8743466      0.7115451E-04   22.46882      0.1035569      0.8868272E-01
   327     1  -36.39109       0.000000      -37.25233      0.8612347      0.7008746E-04   22.13187      0.1022030      0.8747976E-01
   328     1  -36.39239       0.000000      -37.25236      0.8599672      0.6998431E-04   22.09930      0.9767412E-01  0.8848477E-01
   329     1  -36.38938       0.000000      -37.25032      0.8609381      0.7006332E-04   22.12425      0.9368021E-01  0.8869961E-01
   330     1  -36.39171       0.000000      -37.24725      0.8555420      0.6962419E-04   21.98558      0.9235188E-01  0.8510027E-01
   331     1  -36.39768       0.000000      -37.24818      0.8504980      0.6921370E-04   21.85596      0.9043712E-01  0.8387048E-01
   332     1  -36.39759       0.000000      -37.25016      0.8525710      0.6938240E-04   21.90923      0.8879801E-01  0.8613539E-01
   333     1  -36.38522       0.000000      -37.25131      0.8660934      0.7048286E-04   22.25673      0.8802451E-01  0.8822500E-01
   334     1  -36.39796       0.000000      -37.24924      0.8512751      0.6927695E-04   21.87593      0.8788655E-01  0.8717903E-01
   335     1  -36.39711       0.000000      -37.24785      0.8507435      0.6923368E-04   21.86227      0.9046307E-01  0.8477382E-01
   336     1  -36.38773       0.000000      -37.24844      0.8607103      0.7004478E-04   22.11839      0.9643213E-01  0.8465476E-01
   337     1  -36.39732       0.000000      -37.24816      0.8508442      0.6924188E-04   21.86486      0.1015813      0.8537536E-01
   338     1  -36.39270       0.000000      -37.24862      0.8559155      0.6965458E-04   21.99518      0.1043935      0.8680371E-01
   339     1  -36.38331       0.000000      -37.25091      0.8676041      0.7060581E-04   22.29555      0.1041459      0.8981240E-01
   340     1  -36.38358       0.000000      -37.25316      0.8695802      0.7076662E-04   22.34633      0.1036640      0.8668932E-01
   341     1  -36.40261       0.000000      -37.25348      0.8508729      0.6924422E-04   21.86559      0.1032038      0.8235722E-01
   342     1  -36.39625       0.000000      -37.25177      0.8555210      0.6962248E-04   21.98504      0.1025413      0.8165950E-01
   343     1  -36.39404       0.000000      -37.25112      0.8570808      0.6974941E-04   22.02512      0.1016836      0.8152115E-01
   344     1  -36.39490       0.000000      -37.25124      0.8563461      0.6968963E-04   22.00624      0.9980558E-01  0.8211920E-01
   345     1  -36.38456       0.000000      -37.25208      0.8675147      0.7059852E-04   22.29325      0.9900032E-01  0.8688841E-01
   346     1  -36.39345       0.000000      -37.25131      0.8578582      0.6981268E-04   22.04510      0.9858502E-01  0.8667636E-01
   347     1  -36.39701       0.000000      -37.25048      0.8534730      0.6945581E-04   21.93241      0.9801179E-01  0.8548623E-01
   348     1  -36.40016       0.000000      -37.24862      0.8484619      0.6904800E-04   21.80364      0.9781829E-01  0.8402760E-01
   349     1  -36.38898       0.000000      -37.24831      0.8593277      0.6993227E-04   22.08286      0.9646112E-01  0.8635549E-01
   350     1  -36.39768       0.000000      -37.24962      0.8519388      0.6933096E-04   21.89298      0.9537022E-01  0.8634771E-01
   351     1  -36.38029       0.000000      -37.25061      0.8703214      0.7082694E-04   22.36538      0.9461495E-01  0.8590534E-01
   352     1  -36.38558       0.000000      -37.24937      0.8637945      0.7029577E-04   22.19765      0.9456307E-01  0.8699047E-01
   353     1  -36.39337       0.000000      -37.24982      0.8564523      0.6969827E-04   22.00897      0.9797536E-01  0.8704359E-01
   354     1  -36.39355       0.000000      -37.25210      0.8585459      0.6986865E-04   22.06277      0.1002361      0.8925941E-01
   355     1  -36.40250       0.000000      -37.25256      0.8500624      0.6917825E-04   21.84476      0.1026174      0.8964046E-01
   356     1  -36.40943       0.000000      -37.25160      0.8421719      0.6853612E-04   21.64200      0.1035210      0.8471941E-01
   357     1  -36.40973       0.000000      -37.25067      0.8409392      0.6843581E-04   21.61032      0.1022406      0.7969417E-01
   358     1  -36.40019       0.000000      -37.24967      0.8494794      0.6913081E-04   21.82978      0.1014917      0.7958707E-01
   359     1  -36.40119       0.000000      -37.24975      0.8485595      0.6905595E-04   21.80614      0.1001876      0.8049711E-01
   360     1  -36.40024       0.000000      -37.25031      0.8500726      0.6917908E-04   21.84503      0.9775957E-01  0.7867157E-01
   361     1  -36.40581       0.000000      -37.25194      0.8461315      0.6885836E-04   21.74375      0.9646874E-01  0.7779081E-01
   362     1  -36.39719       0.000000      -37.25384      0.8566526      0.6971457E-04   22.01412      0.9630236E-01  0.7745205E-01
   363     1  -36.39278       0.000000      -37.25355      0.8607698      0.7004962E-04   22.11992      0.9612908E-01  0.7598304E-01
   364     1  -36.39692       0.000000      -37.25241      0.8554911      0.6962004E-04   21.98427      0.9396036E-01  0.7394264E-01
   365     1  -36.40366       0.000000      -37.25097      0.8473084      0.6895414E-04   21.77399      0.8969536E-01  0.7544907E-01
   366     1  -36.39451       0.000000      -37.25137      0.8568615      0.6973157E-04   22.01949      0.8710906E-01  0.8386022E-01
   367     1  -36.39030       0.000000      -37.25239      0.8620873      0.7015685E-04   22.15378      0.8413275E-01  0.8935469E-01
   368     1  -36.39725       0.000000      -37.25218      0.8549335      0.6957467E-04   21.96994      0.8248513E-01  0.9040436E-01
   369     1  -36.40270       0.000000      -37.25161      0.8489078      0.6908429E-04   21.81509      0.8495280E-01  0.8969048E-01
   370     1  -36.37836       0.000000      -37.25118      0.8728259      0.7103076E-04   22.42974      0.8905375E-01  0.9658511E-01
   371     1  -36.39774       0.000000      -37.24985      0.8521083      0.6934475E-04   21.89734      0.9321154E-01  0.1008533    
   372     1  -36.39397       0.000000      -37.24995      0.8559835      0.6966012E-04   21.99693      0.9834472E-01  0.1029458    
   373     1  -36.41067       0.000000      -37.25035      0.8396737      0.6833282E-04   21.57780      0.1041258      0.1020214    
   374     1  -36.39469       0.000000      -37.24950      0.8548139      0.6956493E-04   21.96687      0.1082804      0.9834787E-01
   375     1  -36.39737       0.000000      -37.24809      0.8507188      0.6923167E-04   21.86163      0.1120483      0.9601761E-01
   376     1  -36.39298       0.000000      -37.24721      0.8542320      0.6951758E-04   21.95192      0.1134393      0.9572637E-01
   377     1  -36.39240       0.000000      -37.24654      0.8541476      0.6951071E-04   21.94975      0.1127262      0.9995108E-01
   378     1  -36.39051       0.000000      -37.24632      0.8558112      0.6964609E-04   21.99250      0.1119688      0.1001211    
   379     1  -36.38750       0.000000      -37.24761      0.8601030      0.6999536E-04   22.10279      0.1108773      0.9384750E-01
   380     1  -36.37962       0.000000      -37.24753      0.8679170      0.7063127E-04   22.30359      0.1076099      0.8807937E-01
   381     1  -36.38492       0.000000      -37.24813      0.8632123      0.7024839E-04   22.18269      0.1034369      0.8445460E-01
   382     1  -36.39900       0.000000      -37.24949      0.8504845      0.6921260E-04   21.85561      0.9992485E-01  0.8622108E-01
   383     1  -36.40365       0.000000      -37.24980      0.8461439      0.6885936E-04   21.74407      0.9725754E-01  0.8894650E-01
   384     1  -36.39576       0.000000      -37.24866      0.8528980      0.6940902E-04   21.91763      0.9693189E-01  0.9084373E-01
   385     1  -36.39078       0.000000      -37.24718      0.8563965      0.6969372E-04   22.00754      0.9482723E-01  0.8756927E-01
   386     1  -36.39433       0.000000      -37.24838      0.8540547      0.6950315E-04   21.94736      0.9502626E-01  0.8034480E-01
   387     1  -36.39334       0.000000      -37.24845      0.8551062      0.6958872E-04   21.97438      0.9570830E-01  0.7612227E-01
   388     1  -36.40236       0.000000      -37.24768      0.8453205      0.6879236E-04   21.72291      0.9599565E-01  0.7155563E-01
   389     1  -36.40657       0.000000      -37.24887      0.8422997      0.6854653E-04   21.64528      0.9529711E-01  0.7721095E-01
   390     1  -36.39196       0.000000      -37.25225      0.8602872      0.7001035E-04   22.10752      0.9433762E-01  0.8579390E-01
   391     1  -36.40079       0.000000      -37.25406      0.8532690      0.6943921E-04   21.92717      0.9189423E-01  0.9126569E-01
   392     1  -36.38711       0.000000      -37.25190      0.8647830      0.7037622E-04   22.22305      0.9109069E-01  0.9566019E-01
   393     1  -36.39733       0.000000      -37.24937      0.8520397      0.6933916E-04   21.89558      0.9082336E-01  0.9668979E-01
   394     1  -36.40639       0.000000      -37.24822      0.8418280      0.6850814E-04   21.63316      0.9049694E-01  0.9631794E-01
   395     1  -36.40399       0.000000      -37.24838      0.8443945      0.6871700E-04   21.69911      0.9050297E-01  0.9635274E-01
   396     1  -36.39284       0.000000      -37.24838      0.8555379      0.6962385E-04   21.98547      0.9245058E-01  0.9625497E-01
   397     1  -36.40387       0.000000      -37.24831      0.8444458      0.6872118E-04   21.70043      0.9541318E-01  0.9331110E-01
   398     1  -36.38707       0.000000      -37.24978      0.8627085      0.7020739E-04   22.16974      0.9778735E-01  0.9598440E-01
   399     1  -36.38031       0.000000      -37.25126      0.8709447      0.7087766E-04   22.38140      0.1004399      0.1005238    
   400     1  -36.37753       0.000000      -37.25048      0.8729498      0.7104084E-04   22.43292      0.1028769      0.9926629E-01
   401     1  -36.37569       0.000000      -37.24911      0.8734283      0.7107978E-04   22.44522      0.1033119      0.1020152    
   402     1  -36.39074       0.000000      -37.24723      0.8564826      0.6970073E-04   22.00975      0.1012614      0.1053744    
   403     1  -36.38899       0.000000      -37.24622      0.8572303      0.6976158E-04   22.02897      0.9793302E-01  0.1055785    
   404     1  -36.39762       0.000000      -37.24656      0.8489441      0.6908725E-04   21.81603      0.9531500E-01  0.1013802    
   405     1  -36.39496       0.000000      -37.24695      0.8519949      0.6933552E-04   21.89443      0.9488068E-01  0.9504430E-01
   406     1  -36.40774       0.000000      -37.24802      0.8402824      0.6838236E-04   21.59344      0.9550377E-01  0.8930744E-01
   407     1  -36.39369       0.000000      -37.24966      0.8559703      0.6965904E-04   21.99659      0.9591392E-01  0.8882343E-01
   408     1  -36.40302       0.000000      -37.25019      0.8471773      0.6894347E-04   21.77063      0.9410152E-01  0.9070675E-01
   409     1  -36.38100       0.000000      -37.25124      0.8702379      0.7082014E-04   22.36323      0.9159549E-01  0.9405823E-01
   410     1  -36.40078       0.000000      -37.25125      0.8504667      0.6921116E-04   21.85516      0.9081525E-01  0.9215501E-01
   411     1  -36.38947       0.000000      -37.25021      0.8607378      0.7004702E-04   22.11910      0.8976020E-01  0.8990345E-01
   412     1  -36.39974       0.000000      -37.24848      0.8487431      0.6907089E-04   21.81086      0.8863388E-01  0.8919167E-01
   413     1  -36.40879       0.000000      -37.24882      0.8400300      0.6836182E-04   21.58695      0.8993779E-01  0.8822093E-01
   414     1  -36.39465       0.000000      -37.25106      0.8564074      0.6969462E-04   22.00782      0.9102080E-01  0.9084531E-01
   415     1  -36.39366       0.000000      -37.25270      0.8590459      0.6990933E-04   22.07562      0.9050062E-01  0.9268211E-01
   416     1  -36.39573       0.000000      -37.25283      0.8571061      0.6975147E-04   22.02577      0.9082111E-01  0.9479575E-01
   417     1  -36.40975       0.000000      -37.25278      0.8430346      0.6860633E-04   21.66416      0.9556885E-01  0.9579891E-01
   418     1  -36.40452       0.000000      -37.25160      0.8470862      0.6893605E-04   21.76828      0.9836483E-01  0.9493101E-01
   419     1  -36.40421       0.000000      -37.24973      0.8455196      0.6880856E-04   21.72802      0.1015990      0.9546052E-01
   420     1  -36.40556       0.000000      -37.24951      0.8439444      0.6868037E-04   21.68755      0.1034512      0.9652097E-01
   421     1  -36.39738       0.000000      -37.25082      0.8534453      0.6945355E-04   21.93170      0.1050426      0.9873201E-01
   422     1  -36.38937       0.000000      -37.25055      0.8611760      0.7008268E-04   22.13036      0.1063555      0.9976681E-01
   423     1  -36.40129       0.000000      -37.25023      0.8489469      0.6908747E-04   21.81610      0.1093627      0.1002469    
   424     1  -36.40175       0.000000      -37.24812      0.8463787      0.6887848E-04   21.75010      0.1116290      0.9696543E-01
   425     1  -36.39991       0.000000      -37.24800      0.8480935      0.6901803E-04   21.79417      0.1108304      0.9439020E-01
   426     1  -36.39942       0.000000      -37.24992      0.8504953      0.6921349E-04   21.85589      0.1057930      0.9183119E-01
   427     1  -36.39668       0.000000      -37.25250      0.8558228      0.6964704E-04   21.99280      0.9980840E-01  0.9119891E-01
   428     1  -36.39290       0.000000      -37.25178      0.8588819      0.6989599E-04   22.07141      0.9479928E-01  0.8994763E-01
   429     1  -36.38991       0.000000      -37.25071      0.8608020      0.7005224E-04   22.12075      0.9158681E-01  0.9641736E-01
   430     1  -36.39510       0.000000      -37.24905      0.8539524      0.6949482E-04   21.94473      0.9062753E-01  0.1006432    
   431     1  -36.40288       0.000000      -37.24989      0.8470037      0.6892934E-04   21.76616      0.9103499E-01  0.1039434    
   432     1  -36.40214       0.000000      -37.25222      0.8500788      0.6917959E-04   21.84519      0.9182210E-01  0.1045154    
   433     1  -36.40414       0.000000      -37.25284      0.8487028      0.6906761E-04   21.80983      0.9237940E-01  0.1064694    
   434     1  -36.39042       0.000000      -37.25346      0.8630411      0.7023447E-04   22.17829      0.9397555E-01  0.1072402    
   435     1  -36.38595       0.000000      -37.25404      0.8680835      0.7064481E-04   22.30787      0.9766892E-01  0.1075928    
   436     1  -36.38326       0.000000      -37.25224      0.8689823      0.7071796E-04   22.33097      0.9964721E-01  0.1060524    
   437     1  -36.39207       0.000000      -37.25098      0.8589126      0.6989849E-04   22.07220      0.1013075      0.1032470    
   438     1  -36.39317       0.000000      -37.25008      0.8569140      0.6973584E-04   22.02084      0.1031115      0.9974791E-01
   439     1  -36.39937       0.000000      -37.24842      0.8490541      0.6909620E-04   21.81886      0.1043544      0.9768197E-01
   440     1  -36.40040       0.000000      -37.24702      0.8466258      0.6889859E-04   21.75645      0.1047927      0.9640791E-01
   441     1  -36.39120       0.000000      -37.24771      0.8565102      0.6970298E-04   22.01046      0.1029253      0.9932865E-01
