 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  
    50     1  -36.36843       0.000000      -37.23794      0.8695024      0.7076029E-04   22.34433      0.1063727      0.1121093    
    51     1  -36.35389       0.000000      -37.23654      0.8826543      0.7183059E-04   22.68231      0.1069675      0.1137562    
    52     1  -36.35608       0.000000      -37.23488      0.8788021      0.7151709E-04   22.58331      0.1073615      0.1187869    
    53     1  -36.37883       0.000000      -37.23553      0.8567023      0.6971861E-04   22.01540      0.1066338      0.1179293    
    54     1  -36.38317       0.000000      -37.23737      0.8541987      0.6951487E-04   21.95106      0.1058972      0.1169069    
    55     1  -36.36676       0.000000      -37.24106      0.8742917      0.7115004E-04   22.46741      0.1052170      0.1165181    
    56     1  -36.37258       0.000000      -37.24211      0.8695224      0.7076191E-04   22.34484      0.1066543      0.1105139    
    57     1  -36.39361       0.000000      -37.24238      0.8487654      0.6907270E-04   21.81143      0.1074430      0.1029547    
    58     1  -36.38408       0.000000      -37.24375      0.8596749      0.6996052E-04   22.09179      0.1047107      0.9834421E-01
    59     1  -36.38318       0.000000      -37.24282      0.8596422      0.6995786E-04   22.09095      0.1015611      0.9405765E-01
    60     1  -36.38348       0.000000      -37.24100      0.8575230      0.6978540E-04   22.03649      0.9785888E-01  0.9421748E-01
    61     1  -36.37871       0.000000      -37.24134      0.8626304      0.7020104E-04   22.16774      0.9260236E-01  0.9903925E-01
    62     1  -36.38234       0.000000      -37.24130      0.8589571      0.6990211E-04   22.07334      0.8994075E-01  0.9695979E-01
    63     1  -36.38727       0.000000      -37.24179      0.8545208      0.6954108E-04   21.95934      0.8914808E-01  0.9466166E-01
    64     1  -36.39592       0.000000      -37.24317      0.8472445      0.6894893E-04   21.77235      0.8838240E-01  0.9480094E-01
    65     1  -36.40186       0.000000      -37.24522      0.8433576      0.6863262E-04   21.67247      0.8947019E-01  0.9573908E-01
    66     1  -36.40577       0.000000      -37.24480      0.8390315      0.6828056E-04   21.56129      0.8974642E-01  0.9846856E-01
    67     1  -36.37865       0.000000      -37.24344      0.8647979      0.7037743E-04   22.22344      0.9000474E-01  0.1040145    
    68     1  -36.38843       0.000000      -37.24105      0.8526137      0.6938588E-04   21.91033      0.8981967E-01  0.1042888    
    69     1  -36.39546       0.000000      -37.23886      0.8434035      0.6863635E-04   21.67365      0.9083939E-01  0.1050106    
    70     1  -36.38423       0.000000      -37.23936      0.8551261      0.6959034E-04   21.97489      0.9264559E-01  0.1056729    
    71     1  -36.38289       0.000000      -37.24171      0.8588260      0.6989144E-04   22.06997      0.9332104E-01  0.1087910    
    72     1  -36.38875       0.000000      -37.24538      0.8566352      0.6971315E-04   22.01367      0.9445875E-01  0.1119924    
    73     1  -36.39598       0.000000      -37.24685      0.8508701      0.6924398E-04   21.86552      0.9491067E-01  0.1126915    
    74     1  -36.39187       0.000000      -37.24591      0.8540396      0.6950192E-04   21.94697      0.9529598E-01  0.1119658    
    75     1  -36.38267       0.000000      -37.24544      0.8627677      0.7021222E-04   22.17126      0.9530230E-01  0.1073654    
    76     1  -36.38907       0.000000      -37.24380      0.8547260      0.6955778E-04   21.96461      0.9572515E-01  0.1040738    
    77     1  -36.39002       0.000000      -37.24236      0.8523400      0.6936361E-04   21.90330      0.9588536E-01  0.1034102    
    78     1  -36.38685       0.000000      -37.24303      0.8561771      0.6967587E-04   22.00190      0.9469160E-01  0.1068580    
    79     1  -36.39832       0.000000      -37.24451      0.8461923      0.6886331E-04   21.74531      0.9444244E-01  0.1038724    
